OverallStatus,Status,Hiretype,RecruiterGPN,Title,Age,Original State,PinCode,Source,Department,IT,Joining Center,Facility,Rank,IsRotationalShift,NoticePeriod,Qualification1,Big four,DAndI,hike,JoiningBonus,GoodsTransportationTravelEligibility,Stipend,Experienced,IsNoticePeriodReimbursementProvided,ExpectedJoiningDate,ActualJoiningDate,Target,dum_hiretype,dum_rec,dum_title,date,date1,dum_State,dum_Source,dum_Department,dum_Joining_Center,dum_Rank,dummy_IsRotationalShift,dum_Qual,joiningmonth
Joined,OfferAccepted,Re hire,XE020M36003,0,24.53150685,Karnataka,560054,CAMPUS,Indirect,0,Bangalore,BLR CORAL/EYGDS/SEZ,4,FALSE,1,MBA,0,0,1,0,0,1,1,0,16-07-2018,16-07-2018,1,2,6,NA,16-10-2019,16-10-2019 05:30,1,4,5,1,3,0,3,7
Joined,OfferAccepted,New Employee,XE020M36003,0,24.46849315,Karnataka,560043,CAMPUS,GCR,0,Bangalore,BLR CORAL/EYGDS/SEZ,4,FALSE,1,MBA,0,0,1,0,0,1,1,0,16-07-2018,16-07-2018,1,1,6,NA,16-10-2019,16-10-2019 05:30,1,4,1,1,3,0,3,7
Joined,OfferAccepted,New Employee,XE020M36003,0,23.08219178,West Bengal,700108,CAMPUS,GCR,0,Bangalore,BLR CORAL/EYGDS/SEZ,4,FALSE,1,MBA,0,0,1,0,0,1,1,0,16-07-2018,16-07-2018,1,1,6,NA,16-10-2019,16-10-2019 05:30,5,4,1,1,3,0,3,7
Joined,OfferAccepted,New Employee,XE020M36003,0,23.66027397,Karnataka,560065,CAMPUS,GCR,0,Bangalore,BLR CORAL/EYGDS/SEZ,4,FALSE,1,MBA,0,0,1,0,0,1,1,0,02-07-2018,02-07-2018,1,1,6,NA,16-10-2019,16-10-2019 05:30,1,4,1,1,3,0,3,7
Joined,OfferAccepted,New Employee,XE020M38015,0,27.12876712,Karnataka,560093,PORTAL,GCR,0,Bangalore,BLR CORAL/EYGDS/SEZ,42,FALSE,2,Grad,0,0,0.39,0,0,0,1,0,13-08-2018,13-08-2018,1,1,1,NA,16-10-2019,16-10-2019 05:30,1,3,1,1,2,0,2,8
Joined,OfferAccepted,New Employee,XE020M36003,1,22.07671233,Karnataka,560037,CAMPUS,Transfer Pricing,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Grad,0,0,1,0,0,0,1,0,02-07-2018,02-07-2018,1,1,6,NA,16-10-2019,16-10-2019 05:30,1,4,6,1,1,0,2,7
Joined,OfferAccepted,New Employee,XE020M36003,0,22.13424658,Karnataka,560094,CAMPUS,Transfer Pricing,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Grad,0,0,1,0,0,0,1,0,02-07-2018,02-07-2018,1,1,6,NA,16-10-2019,16-10-2019 05:30,1,4,6,1,1,0,2,7
Joined,OfferAccepted,Re hire,XE020M36003,0,21.90410959,Tamil Nadu,600007,CAMPUS,GCR,0,Chennai,CHN DLF/EYLLP/EYGDS/SEZ,44,FALSE,2,Grad,0,0,1,0,0,0,1,0,02-07-2018,02-07-2018,1,2,6,NA,16-10-2019,16-10-2019 05:30,2,4,1,3,1,0,2,7
Joined,OfferAccepted,New Employee,XE020M36003,0,24.27671233,West Bengal,700092,CAMPUS,Transfer Pricing,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,1,0,0,0,1,0,02-07-2018,02-07-2018,1,1,6,NA,16-10-2019,16-10-2019 05:30,5,4,6,1,1,0,1,7
Joined,OfferAccepted,Re hire,XE020M36003,1,23.25205479,Orissa,769004,CAMPUS,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Grad,0,0,1,0,0,0,1,0,02-07-2018,02-07-2018,1,2,6,NA,16-10-2019,16-10-2019 05:30,9,4,2,1,1,0,2,7
