"","OfferId","OverallStatus","Status","Hiretype","RecruiterGPN","Title","Age","Original State","PinCode","Source","Department","IT","Joining Center","Facility","Rank","IsRotationalShift","NoticePeriod","Qualification1","Big four","DAndI","hike%","JoiningBonus","GoodsTransportationTravelEligibility","Stipend","Experienced","IsNoticePeriodReimbursementProvided","ExpectedJoiningDate","ActualJoiningDate","Target","dum_hiretype","dum_rec","dum_title","date","date1","dum_State","dum_Source","dum_Department","dum_Joining_Center","dum_Rank","dummy_IsRotationalShift","dum_Qual","joiningmonth"
"1071",27959,"OfferDeclined","OfferDeclined","New Employee","XE020M39949",0,28.31232877,"Karnataka",560037,"PORTAL","Tax - TTT",1,"Bangalore","BLR CORAL/EYGDS/SEZ",42,FALSE,2,"Grad",0,0,0.05,0,0,0,1,"0",2018-10-08,NA,0,1,4,NA,2019-10-16,2019-10-16 05:30:00,1,3,4,1,2,0,2,10
"1072",29191,"OfferDeclined","OfferDeclined","New Employee","XE020M32824",1,29.06849315,"Karnataka",560103,"CONSULTANCY","Tax Chat",0,"Bangalore","BLR CORAL/EYGDS/SEZ",42,FALSE,2,"Post Grad",1,0,0.23,0,0,0,1,"0",2018-11-26,NA,0,1,3,NA,2019-10-16,2019-10-16 05:30:00,1,2,3,1,2,0,1,11
"1073",30761,"Joined","OfferAccepted","New Employee","XE020M32824",0,31.67123288,"Karnataka",560066,"EMPLOYEE REFERRAL","GCR",0,"Bangalore","BLR CORAL/EYGDS/SEZ",42,FALSE,2,"Post Grad",0,0,0.26,0,0,0,1,"0",2018-12-10,2018-12-10,1,1,3,NA,2019-10-16,2019-10-16 05:30:00,1,1,1,1,2,0,1,12
"1074",31942,"Joined","OfferAccepted","New Employee","XE020M32824",0,26.7260274,"Karnataka",560024,"EMPLOYEE REFERRAL","GCR",0,"Bangalore","BLR CORAL/EYGDS/SEZ",44,FALSE,2,"Post Grad",0,0,0.23,0,0,0,1,"0",2019-01-07,2019-01-07,1,1,3,NA,2019-10-16,2019-10-16 05:30:00,1,1,1,1,1,0,1,1
"1075",31146,"Joined","OfferAccepted","New Employee","XE020M32824",0,22.96164384,"Karnataka",560061,"EMPLOYEE REFERRAL","GCR",0,"Bangalore","BLR CORAL/EYGDS/SEZ",44,FALSE,2,"Post Grad",0,0,0.05,0,0,0,1,"0",2018-11-05,2018-11-05,1,1,3,NA,2019-10-16,2019-10-16 05:30:00,1,1,1,1,1,0,1,11
"1076",31965,"Joined","OfferAccepted","New Employee","XE020M39949",0,23.75068493,"Karnataka",560043,"PORTAL","Indirect",0,"Bangalore","BLR CORAL/EYGDS/SEZ",44,FALSE,2,"Post Grad",0,0,1,0,0,0,1,"0",2018-12-17,2018-12-17,1,1,4,NA,2019-10-16,2019-10-16 05:30:00,1,3,5,1,1,0,1,12
"1077",35689,"Joined","OfferAccepted","New Employee","XE020M24041",0,25.69041096,"Karnataka",560066,"CONSULTANCY","GCR",0,"Bangalore","BLR CORAL/EYGDS/SEZ",44,FALSE,2,"Post Grad",0,0,1,0,0,0,1,"0",2019-01-21,2019-01-21,1,1,5,NA,2019-10-16,2019-10-16 05:30:00,1,2,1,1,1,0,1,1
"1078",39500,"Joined","OfferAccepted","New Employee","XE020M32824",0,30.27945205,"Karnataka",560045,"EMPLOYEE REFERRAL","GCR",0,"Bangalore","BLR CORAL/EYGDS/SEZ",44,FALSE,2,"Post Grad",0,0,0.34,0,0,0,1,"0",2019-04-08,2019-04-08,1,1,3,NA,2019-10-16,2019-10-16 05:30:00,1,1,1,1,1,0,1,4
"1079",38496,"Joined","OfferAccepted","New Employee","XE021305129",1,25.73150685,"Kerala",683501,"PORTAL","MENA",0,"Kochi","KOC Carnival2/All Entities/SEZ",4,TRUE,1,"Post Grad",0,0,1,0,0,1,1,"0",2019-03-05,2019-03-05,1,1,14,NA,2019-10-16,2019-10-16 05:30:00,3,3,8,4,3,0,1,3
"1080",32111,"Joined","OfferAccepted","New Employee","XE020M39949",1,24.91232877,"Karnataka",560004,"EMPLOYEE REFERRAL","Indirect",0,"Bangalore","BLR CORAL/EYGDS/SEZ",44,FALSE,2,"Post Grad",0,0,1,0,0,0,1,"0",2018-12-10,2018-12-10,1,1,4,NA,2019-10-16,2019-10-16 05:30:00,1,1,5,1,1,0,1,12
