OfferId,OverallStatus,Status,Hiretype,RecruiterGPN,Title,Age,Original State,PinCode,Source,Department,IT,Joining Center,Facility,Rank,IsRotationalShift,NoticePeriod,Qualification1,Big four,DAndI,hike%,JoiningBonus,GoodsTransportationTravelEligibility,Stipend,Experienced,IsNoticePeriodReimbursementProvided,ExpectedJoiningDate,ActualJoiningDate
33665,Joined,OfferAccepted,New Employee,XE020M38015,1,23.65753425,Karnataka,560097,EMPLOYEE REFERRAL,GCR,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,0%,0,0,0,0,,07-01-2019,07-01-2019
33666,Joined,OfferAccepted,New Employee,XE020M38015,0,25.96986301,Karnataka,560049,EMPLOYEE REFERRAL,GCR,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,37%,0,0,0,1,0,07-01-2019,07-01-2019
33668,Joined,OfferAccepted,New Employee,XE020M38015,1,22.20547945,Karnataka,575003,PORTAL,GCR,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,0%,0,1,0,0,,07-01-2019,07-01-2019
33669,Joined,OfferAccepted,New Employee,XE020M38015,0,22.87671233,Assam,782435,EMPLOYEE REFERRAL,GCR,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,0%,0,0,0,0,FALSE,07-01-2019,07-01-2019
33670,Joined,OfferAccepted,New Employee,XE020M38015,1,21.38356164,Karnataka,560086,EMPLOYEE REFERRAL,GCR,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,0%,0,0,0,0,,07-01-2019,07-01-2019
33671,OfferDeclined,OfferDeclined,New Employee,XE020M51545,0,29.74520548,Karnataka,632513,PORTAL,Tax - TTT,1,Bangalore,BLR CORAL/EYGDS/SEZ,42,FALSE,2,Post Grad,0,0,23%,0,1,0,1,0,11-02-2019,
33673,OfferDeclined,OfferDeclined,New Employee,XE020M51545,0,28.57808219,Tamil Nadu,631501,PORTAL,Tax - TTT,1,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,28%,0,1,0,1,0,25-02-2019,
33674,OfferDeclined,OfferDeclined,New Employee,XE020M51545,0,30.21917808,Tamil Nadu,600126,PORTAL,Tax - TTT,1,Bangalore,BLR CORAL/EYGDS/SEZ,42,FALSE,2,Post Grad,0,0,22%,0,1,0,1,0,25-03-2019,
33675,Joined,OfferAccepted,New Employee,XE020M38015,1,30.71506849,Karnataka,560016,EMPLOYEE REFERRAL,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,45%,0,0,0,1,0,07-01-2019,07-01-2019
33676,Joined,OfferAccepted,New Employee,XE020M38015,0,24.04383562,Karnataka,560080,EMPLOYEE REFERRAL,GCR,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,0%,0,0,0,0,,07-01-2019,07-01-2019
33678,Joined,OfferAccepted,New Employee,XE020M38015,1,27.16986301,Karnataka,560100,EMPLOYEE REFERRAL,GCR,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,0%,0,0,0,0,FALSE,07-01-2019,07-01-2019
33679,OfferDeclined,OfferDeclined,New Employee,XE020M51545,0,29.55890411,Tamil Nadu,600024,PORTAL,Tax - TTT,1,Bangalore,BLR CORAL/EYGDS/SEZ,42,FALSE,2,Post Grad,0,0,36%,0,1,0,1,0,04-02-2019,
33680,Joined,OfferAccepted,New Employee,XE020M38015,1,23.35342466,Karnataka,560079,EMPLOYEE REFERRAL,GCR,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,0%,0,0,0,0,FALSE,07-01-2019,07-01-2019
33683,Joined,OfferAccepted,New Employee,XE020M22317,1,23.23835616,Karnataka,560090,EMPLOYEE REFERRAL,GCR,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,100%,0,0,0,1,0,14-01-2019,14-01-2019
33684,Joined,OfferAccepted,New Employee,XE020M22317,0,23.71506849,Karnataka,574509,PORTAL,GCR,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,100%,0,1,0,1,0,31-12-2018,31-12-2018
33685,Joined,OfferAccepted,New Employee,XE020M22317,1,26.22465753,Karnataka,560043,EMPLOYEE REFERRAL,GCR,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,46%,0,0,0,1,0,14-01-2019,14-01-2019
33686,Joined,OfferAccepted,New Employee,XE020M22317,0,23.31506849,Andhra Pradesh,516269,PORTAL,GCR,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,100%,0,1,0,1,0,31-12-2018,31-12-2018
33687,Joined,OfferAccepted,New Employee,XE020M22317,1,24.92876712,Karnataka,560038,EMPLOYEE REFERRAL,GCR,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,100%,0,0,0,1,0,31-12-2018,31-12-2018
33688,Joined,OfferAccepted,New Employee,XE020M22317,0,26.35342466,Karnataka,560037,EMPLOYEE REFERRAL,GCR,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,46%,0,0,0,1,0,31-12-2018,31-12-2018
33689,Joined,OfferAccepted,New Employee,XE020M22317,1,26.05479452,Karnataka,560082,PORTAL,GCR,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,100%,0,0,0,1,0,31-12-2018,31-12-2018
33690,Joined,OfferAccepted,New Employee,XE020M22317,1,24.07671233,Karnataka,563125,PORTAL,GCR,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,100%,0,1,0,1,0,31-12-2018,31-12-2018
33691,Joined,OfferAccepted,New Employee,XE020M22317,0,25.19178082,Karnataka,560037,EMPLOYEE REFERRAL,GCR,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,100%,0,0,0,1,0,31-12-2018,31-12-2018
33695,Joined,OfferAccepted,New Employee,XE020M38015,1,22.13424658,Karnataka,560051,PORTAL,GCR,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,100%,0,0,0,1,0,07-01-2019,07-01-2019
33738,Joined,OfferAccepted,New Employee,XE020M51545,0,31.23287671,Karnataka,560037,PORTAL,Tax - TTT,1,Bangalore,BLR CORAL/EYGDS/SEZ,42,FALSE,2,Post Grad,0,0,24%,0,0,0,1,0,04-03-2019,04-03-2019
33786,OfferDeclined,OfferDeclined,Re hire,XE020M00201,0,32.1890411,Karnataka,560016,EMPLOYEE REFERRAL,GCR,0,Bangalore,BLR CORAL/EYGDS/SEZ,32,FALSE,2,Post Grad,1,0,0%,1,0,0,1,0,14-01-2019,
33821,Joined,OfferAccepted,New Employee,XE020M22317,0,26.15342466,Andhra Pradesh,518003,EMPLOYEE REFERRAL,GCR,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,0%,0,1,0,0,,31-12-2018,31-12-2018
33831,Joined,OfferAccepted,Re hire,XE020M22317,1,37.71506849,West Bengal,700004,EMPLOYEE REFERRAL,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,42,FALSE,2,Post Grad,1,0,13%,0,1,0,1,0,04-02-2019,04-02-2019
33839,OfferDeclined,OfferDeclined,New Employee,XE020M42382,1,31.98356164,Kerala,682021,PORTAL,Tax Chat,0,Kochi,KOC Carnival/EYGDS/SEZ-SFT,42,FALSE,2,Post Grad,1,0,27%,0,0,0,1,0,24-12-2018,
33840,Joined,OfferAccepted,New Employee,XE020M22317,1,29.08767123,West Bengal,700020,EMPLOYEE REFERRAL,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,42,FALSE,2,Post Grad,1,0,52%,0,0,0,1,0,04-03-2019,04-03-2019
33844,OfferDeclined,OfferDeclined,New Employee,XE020M42382,0,29.6739726,Andhra Pradesh,500081,CONSULTANCY,GCR,0,Bangalore,BLR CORAL/EYGDS/SEZ,42,FALSE,2,Post Grad,1,0,23%,0,1,0,1,0,25-02-2019,
33847,OfferDeclined,OfferDeclined,New Employee,XE020M22317,1,27.91506849,West Bengal,700046,EMPLOYEE REFERRAL,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,1,0,25%,0,1,0,1,0,04-03-2019,
33869,Joined,OfferAccepted,New Employee,XE020M22317,1,27.0109589,West Bengal,700079,EMPLOYEE REFERRAL,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,1,0,22%,0,1,0,1,0,25-02-2019,25-02-2019
33870,OfferDeclined,OfferDeclined,New Employee,XE020M22317,1,25.85753425,West Bengal,700064,EMPLOYEE REFERRAL,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,1,0,29%,0,1,0,1,0,04-03-2019,
33871,Joined,OfferAccepted,Re hire,XE020M22317,1,33.40821918,West Bengal,700028,EMPLOYEE REFERRAL,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,42,FALSE,2,Post Grad,0,0,27%,0,1,0,1,0,04-03-2019,04-03-2019
33872,Joined,OfferAccepted,New Employee,XE020M22317,1,30.52054795,West Bengal,700054,EMPLOYEE REFERRAL,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,42,FALSE,2,Post Grad,1,0,32%,0,1,0,1,0,04-03-2019,04-03-2019
34878,Joined,OfferAccepted,New Employee,XE020M42382,0,32.15342466,Haryana,122662,CONSULTANCY,GCR,0,Gurgaon,GGN UCP/All Entities/Non-SEZ,42,FALSE,2,Post Grad,1,0,15%,0,0,0,1,0,25-02-2019,25-02-2019
34879,OfferDeclined,OfferDeclined,New Employee,XE020M42382,0,29.47671233,Andhra Pradesh,500090,CONSULTANCY,GCR,0,Gurgaon,GGN UCP/All Entities/Non-SEZ,42,FALSE,2,Post Grad,1,0,11%,0,1,0,1,0,15-04-2019,
34880,Joined,OfferAccepted,New Employee,XE020M42382,1,28.14520548,Andhra Pradesh,500090,CONSULTANCY,GCR,0,Bangalore,BLR CORAL/EYGDS/SEZ,42,FALSE,2,Post Grad,1,0,23%,0,1,0,1,0,25-02-2019,25-02-2019
34881,Joined,OfferAccepted,New Employee,XE020M42382,1,30.58630137,Andhra Pradesh,500084,CONSULTANCY,GCR,0,Gurgaon,GGN UCP/All Entities/Non-SEZ,42,FALSE,2,Post Grad,1,0,17%,0,1,0,1,0,22-04-2019,22-04-2019
34882,Joined,OfferAccepted,New Employee,XE020M42382,0,31.65479452,New Delhi,110078,CONSULTANCY,GCR,0,Gurgaon,GGN UCP/All Entities/Non-SEZ,42,FALSE,2,Post Grad,1,0,25%,0,0,0,1,0,22-04-2019,22-04-2019
34883,OfferDeclined,OfferDeclined,New Employee,XE020M42382,0,28.82191781,Andhra Pradesh,500081,CONSULTANCY,GCR,0,Bangalore,BLR CORAL/EYGDS/SEZ,42,FALSE,2,Post Grad,1,0,23%,0,1,0,1,0,25-02-2019,
34884,OfferDeclined,OfferDeclined,New Employee,XE020M42382,0,29.04931507,Uttar Pradesh,201017,CONSULTANCY,GCR,0,Gurgaon,GGN UCP/All Entities/Non-SEZ,42,FALSE,2,Post Grad,1,0,20%,0,0,0,1,0,25-02-2019,
34885,Joined,OfferAccepted,New Employee,XE020M38015,1,23.01643836,Karnataka,560005,EMPLOYEE REFERRAL,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,0%,0,0,0,0,FALSE,14-01-2019,14-01-2019
34886,Joined,OfferAccepted,Transfer,XE020M38015,0,26.61369863,Karnataka,560047,GDS LEAP,GCR,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,1,0,0%,0,0,0,0,FALSE,01-01-2019,01-01-2019
34887,Joined,OfferAccepted,New Employee,XE020M38015,1,21.50410959,Karnataka,560010,PORTAL,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,0%,0,0,0,0,FALSE,07-01-2019,07-01-2019
34888,Joined,OfferAccepted,New Employee,XE020M38015,1,24.93150685,Karnataka,562125,PORTAL,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,0%,0,0,0,0,FALSE,07-01-2019,07-01-2019
34889,Joined,OfferAccepted,New Employee,XE020M38015,0,27.11506849,Karnataka,560100,EMPLOYEE REFERRAL,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,0%,0,0,0,0,FALSE,28-01-2019,28-01-2019
34890,Joined,OfferAccepted,New Employee,XE020M38015,1,28.28493151,Karnataka,560043,EMPLOYEE REFERRAL,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,42%,0,0,0,1,0,07-01-2019,07-01-2019
34891,Joined,OfferAccepted,New Employee,XE020M38015,1,24.10958904,Karnataka,560034,EMPLOYEE REFERRAL,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,0%,0,0,0,0,FALSE,07-01-2019,07-01-2019
34892,Joined,OfferAccepted,New Employee,XE020M38015,1,21.96712329,Karnataka,560090,EMPLOYEE REFERRAL,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,0%,0,0,0,0,FALSE,07-01-2019,07-01-2019
34893,Joined,OfferAccepted,New Employee,XE020M38015,0,26.49315068,Karnataka,560045,EMPLOYEE REFERRAL,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,0%,0,0,0,0,FALSE,07-01-2019,07-01-2019
34894,Joined,OfferAccepted,New Employee,XE020M38015,0,26.86575342,Karnataka,560091,EMPLOYEE REFERRAL,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,7%,0,0,0,1,0,07-01-2019,07-01-2019
34895,Joined,OfferAccepted,New Employee,XE020M38015,1,26.32328767,Karnataka,560056,EMPLOYEE REFERRAL,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,0%,0,0,0,0,FALSE,07-01-2019,07-01-2019
34896,Joined,OfferAccepted,New Employee,XE020M38015,1,23.59178082,Karnataka,560008,EMPLOYEE REFERRAL,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,0%,0,0,0,0,FALSE,28-01-2019,28-01-2019
34897,Joined,OfferAccepted,New Employee,XE020M38015,0,22.13424658,Gujarat,560038,EMPLOYEE REFERRAL,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,0%,0,0,0,0,FALSE,07-01-2019,07-01-2019
34898,Joined,OfferAccepted,New Employee,XE020M38015,1,23.37534247,Karnataka,560010,EMPLOYEE REFERRAL,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,0%,0,0,0,0,FALSE,07-01-2019,07-01-2019
34899,OfferDeclined,OfferDeclined,New Employee,XE020M38015,1,28.90958904,Karnataka,560016,EMPLOYEE REFERRAL,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,0%,0,0,0,0,FALSE,07-01-2019,
34900,Joined,OfferAccepted,Transfer,XE020M38015,0,34.55616438,Karnataka,560113,GDS LEAP,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,1,0,0%,0,0,0,0,FALSE,01-01-2019,01-01-2019
34901,Joined,OfferAccepted,New Employee,XE020M38015,0,24.91780822,Karnataka,560043,EMPLOYEE REFERRAL,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,0%,0,0,0,0,FALSE,07-01-2019,07-01-2019
34902,Joined,OfferAccepted,New Employee,XE020M38015,1,25.0109589,Tamil Nadu,641035,EMPLOYEE REFERRAL,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,0%,0,1,0,0,FALSE,07-01-2019,07-01-2019
